,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.004221963882446289,0.002378482885444306,0.0012927055358886719,0.0019444376918491728,gini,9,8,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 8}",0.7832167832167832,0.7902097902097902,0.7746478873239436,0.7816901408450704,0.8169014084507042,0.7893332020092583,0.014644178662408296,22
19,0.008796072006225586,0.007478416222482075,0.0009728908538818359,0.0008663651243657862,gini,9,10,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 10}",0.7692307692307693,0.7832167832167832,0.7816901408450704,0.7816901408450704,0.8169014084507042,0.7865458485176795,0.01599694007828214,27
20,0.004258203506469727,0.0003858679716957433,0.0014014720916748046,0.0008014836405115803,gini,11,2,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 2}",0.7972027972027972,0.7902097902097902,0.7816901408450704,0.8098591549295775,0.795774647887324,0.7949473062149119,0.00923397484803294,13
21,0.007510757446289063,0.006159239529637093,0.0,0.0,gini,11,4,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 4}",0.7692307692307693,0.7972027972027972,0.8028169014084507,0.7816901408450704,0.7887323943661971,0.7879346006106569,0.01180546827562764,25
22,0.007958745956420899,0.007085265009438674,0.00040488243103027345,0.0008097648620605469,gini,11,6,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 6}",0.7692307692307693,0.7762237762237763,0.795774647887324,0.8098591549295775,0.8098591549295775,0.7921895006402049,0.016848111765223807,16
23,0.004376506805419922,0.004464624307227222,0.00107269287109375,0.001456041383563078,gini,11,8,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 8}",0.7832167832167832,0.7902097902097902,0.7816901408450704,0.7816901408450704,0.823943661971831,0.7921501034177091,0.016206301396268538,17
24,0.006083106994628907,0.006858177349010073,0.0013044357299804687,0.0018471689953916655,gini,11,10,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 10}",0.7622377622377622,0.7832167832167832,0.7887323943661971,0.7816901408450704,0.8169014084507042,0.7865556978233034,0.017616947226590605,26
25,0.005254602432250977,0.00663823372744611,0.0,0.0,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
26,0.0031466007232666014,0.006293201446533203,0.0,0.0,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
27,0.006028270721435547,0.007388732490602699,0.00030436515808105467,0.0006087303161621093,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
